base_index,length,fidelity_min,fidelity_max,ambiguity_diameter,minimax_abs_lower_bound,bayes_mae_lower_bound,exact_marginal_fidelity,exact_composition_grid_mae,fraction_grid_error_above_0p05
205,16,0.5055414108932486,0.608524038592696,0.10298262769944744,0.05149131384972372,0.027752577543300894,0.8763681508743251,0.3193029971030598,1.0
206,8,0.6617447129856188,0.7474616378877882,0.08571692490216942,0.04285846245108471,0.022802559776302373,0.9356292503163037,0.22865440771263248,1.0
207,16,0.49194925370331866,0.6236207972887637,0.13167154358544508,0.06583577179272254,0.035240512892453155,0.900385337709774,0.34009062531167444,1.0
208,16,0.43225120524165406,0.561080880822761,0.12882967558110692,0.06441483779055346,0.034525305528349474,0.8732725019185927,0.3749265410561211,1.0
209,24,0.46899902153605966,0.6198574854927967,0.15085846395673708,0.07542923197836854,0.03454773097188497,0.7710993331488586,0.26404728268059185,1.0
210,24,0.46552452209790773,0.668138312100748,0.2026137900028403,0.10130689500142015,0.04742659430332869,0.7637398997195134,0.24479607578564397,1.0
211,16,0.5751584762143478,0.7042545322588831,0.12909605604453533,0.06454802802226767,0.03426294662257526,0.9207150692485622,0.27584601230295447,1.0
212,16,0.45043950161964397,0.5786159614647663,0.12817645984512238,0.06408822992256119,0.034505183574057414,0.8718369529531378,0.3562254626491301,1.0
213,16,0.5675846067410166,0.6533546117198653,0.08577000497884868,0.04288500248942434,0.023257917032499263,0.8919405031066954,0.2824381631648919,1.0
214,16,0.4997891083596945,0.584378860204914,0.08458975184521955,0.042294875922609776,0.023004813285806287,0.8589910662142954,0.31894214832377626,1.0
215,8,0.7067184588034181,0.7850575393952788,0.07833908059186068,0.03916954029593034,0.02082148249842255,0.9383979272738281,0.18997625505726573,1.0
216,16,0.465329348115197,0.5642921116842661,0.09896276356906908,0.04948138178453454,0.026762268460190555,0.8697730577680249,0.35621439327498744,1.0
217,16,0.5489162886117905,0.6143037012444557,0.06538741263266512,0.03269370631633256,0.018161781699158407,0.8777870065143814,0.3008018033232907,1.0
218,16,0.5202664370514185,0.6353494694269326,0.1150830323755141,0.05754151618775705,0.03092408376495983,0.8872502706821701,0.30812157987625144,1.0
219,16,0.4468334369911933,0.5945072504063708,0.14767381341517744,0.07383690670758872,0.03942674104642886,0.8868660696793409,0.36245967405834406,1.0
220,24,0.5487502061367084,0.658827023529526,0.1100768173928176,0.0550384086964088,0.022328295226249448,0.8333719428263322,0.25946524825009554,1.0
221,8,0.7964502955105457,0.8437611980992918,0.04731090258874615,0.023655451294373075,0.012586688406328705,0.9533658255718838,0.13198641375367223,1.0
222,8,0.5958650726888886,0.6960412194982359,0.10017614680934739,0.050088073404673694,0.02665138349813003,0.9244601685017226,0.2757950686477513,1.0
223,16,0.5061505236041248,0.5787699733523727,0.07261944974824786,0.03630972487412393,0.020102770227286713,0.8820246695494585,0.3443479294626283,1.0
224,24,0.4586025900190349,0.577312867452249,0.11871027743321405,0.059355138716607025,0.025182745369324726,0.793692042895243,0.307023484549817,1.0
225,8,0.6530110981153611,0.7416150283133685,0.08860393019800739,0.04430196509900369,0.023562711244526906,0.9284106549902977,0.22846003630939882,1.0
226,16,0.529785804035279,0.6180341065304383,0.08824830249515936,0.04412415124757968,0.024005177190719353,0.885522177084292,0.3134764046542078,1.0
227,16,0.4918238029339109,0.5140989049915603,0.022275102057649376,0.011137551028824688,0.0058598011812735756,0.8373702032978427,0.3376661933533828,1.0
228,16,0.553564392109642,0.5860947313263144,0.032530339216672366,0.016265169608336183,0.00840865426037108,0.8594986300740526,0.29556313548145047,1.0
